item_quantity,item_name,item_description,item_vegan,item_glutenfree
0,Methi Malaimatar ,Fenugreek and green peas cooked in a delicious sauce,FALSE,TRUE
0,Channa Masala ,Chickpeas cooked with traditional homemade spices,TRUE,TRUE
1,Daal Makhni ,Lentils simmered with spices & topped with butter,FALSE,TRUE
1,Alu Gobi Matar,"Potatoes, cauliflower & green peas seasoned with masala",TRUE,TRUE
0,Paneer Makhani ,Paneer simmered in fenugreek flavored plum tomato sauce,FALSE,TRUE
1,Vegetable Samosa ,Cumin flavored potatoes & peas in a flaky pastry,TRUE,FALSE
0,Lasuni Gobi ,Crispy florets of cauliflower with chili flakes & a garlic-tomato chutney sauce,TRUE,FALSE
0,Paneer Tikka ,"Tandoor-grilled cottage cheese marinated in yogurt, pomegranate, and spices",FALSE,TRUE
0,Chicken Samosa ,Seasoned ground chicken in a flaky pastry,FALSE,FALSE
0,Chicken Kabab ,Tandoor-roasted ground chicken seasoned with mint & herbs rolled on a skewer,FALSE,TRUE
0,Chakundri Chicken Tikka ,Pieces of boneless tender grilled chicken marinated with beet root and spices,FALSE,TRUE
0,Saffron Chicken Malai Tikka ,Pieces of boneless tender grilled chicken marinated with saffron spices & yogurt,FALSE,TRUE
0,Naan ,Tandoor baked light bread,FALSE,FALSE
1,Garlic Naan ,Tandoor baked light bread stuffed with chopped garlic,FALSE,FALSE
0,Saffron Special Naan ,Our signature naan bread stuffed with raisins & saffron,FALSE,FALSE
0,Roti ,Baked whole-wheat bread,FALSE,FALSE
0,Prantha ,Baked multi-layered whole-wheat bread,FALSE,FALSE
0,Onion Kulcha ,Tandoor bread stuffed with freshly chopped onions and pepper,FALSE,FALSE
0,Chicken Naan ,Naan stuffed with shredded chicken tikka,FALSE,FALSE
0,Keema Naan ,Naan stuffed with fresh ground meat,FALSE,FALSE
0,Bhatura ,Deep-fried white puffed bread,FALSE,FALSE
0,Poori ,Deep-fried whole-wheat puffed bread,FALSE,FALSE
2,Rice Pulao ,Basmati rice with peas,TRUE,FALSE
0,Garden Salad ,"Fresh lettuce, tomatoes, cucumbers",TRUE,TRUE
1,Raita,Grated cucumbers and carrots in yogurt,FALSE,TRUE
0,Achaar,Mixed pickle seasoned with spices,TRUE,TRUE
1,Mango Chutney,"A sweet sauce made with mango, vinegar, sugar and herbs",TRUE,TRUE
0,Tamarind Chutney,"A sweet sauce made with tamarind, canola oil, sugar and herbs",TRUE,TRUE
0,Mint Chutney,"A delicious sauce made with mint, coriander, cumin powder and vinegar.",TRUE,TRUE
0,Pappadam,Paper thin lentil wafers,TRUE,TRUE
0,Mango Lassi,Ice cold smoothie made with fresh mangos,FALSE,TRUE
0,Sweet Lassi,Ice cold and refreshing sweet smoothie,FALSE,TRUE
0,Salt Lassi,Ice cold and refreshing salty smoothie,FALSE,TRUE
0,Kheer ,Rice pudding,FALSE,TRUE
0,Rasmali ,Soft homemade cheese-ball cakes in a sweetened milky syrup,FALSE,TRUE
0,Kulfi ,Pistachio flavored ice cream,FALSE,TRUE
0,Gajjar Halwa ,Shredded carrots cooked in milk and topped with nuts.,FALSE,TRUE
0,Gulab Jamun ,Evaporated milk balls served in a natural honey syrup,FALSE,FALSE
0,Moong Dal Halwa ,Finely ground lentils with nuts,FALSE,FALSE
0,Vegetable Kebab,"Fresh spinach, peas and potatos",TRUE,FALSE
0,Chai,Fresh ginger tea infused with cinnamon and cardamom,FALSE,TRUE
0,Assorted Breads,"Garlic Naan, Onion Kulcha and Stuffed Potato Naan",FALSE,FALSE
